 

stn;time;htoauths
SLFFIR;1998112423;72
SLFFIR;1998112500;72
SLFFIR;1998112501;71
SLFFIR;1998112502;72
SLFFIR;1998112503;71
SLFFIR;1998112504;71
SLFFIR;1998112505;71
SLFFIR;1998112506;71
SLFFIR;1998112507;71
SLFFIR;1998112508;71
SLFFIR;1998112509;69
SLFFIR;1998112510;67
SLFFIR;1998112511;68
SLFFIR;1998112512;69
SLFFIR;1998112513;69
SLFFIR;1998112514;70
SLFFIR;1998112515;73
SLFFIR;1998112516;73
SLFFIR;1998112517;73
SLFFIR;1998112518;73
SLFFIR;1998112519;74
SLFFIR;1998112520;74
SLFFIR;1998112521;74
SLFFIR;1998112522;74
SLFFIR;1998112523;75
SLFFIR;1998112600;76
SLFFIR;1998112601;75
SLFFIR;1998112602;75
SLFFIR;1998112603;77
SLFFIR;1998112604;79
SLFFIR;1998112605;78
SLFFIR;1998112606;79
SLFFIR;1998112607;81
SLFFIR;1998112608;80
SLFFIR;1998112609;82
SLFFIR;1998112610;79
SLFFIR;1998112611;79
SLFFIR;1998112612;79
SLFFIR;1998112613;81
SLFFIR;1998112614;81
SLFFIR;1998112615;83
SLFFIR;1998112616;81
SLFFIR;1998112617;81
