time,EIG,KSE
1951-10-01,74.0,
1951-11-01,299.0,
1951-12-01,125.0,
1952-01-01,218.0,
1952-02-01,140.0,
1952-03-01,199.0,
1952-04-01,115.0,
1955-05-01,,150.0
1955-06-01,,207.0
1955-07-01,,212.0
1955-08-01,,173.0
1955-09-01,,125.0
1955-10-01,,70.0
1955-11-01,,20.0
1955-12-01,,75.0
1956-01-01,,76.0
1956-02-01,,18.0
1956-03-01,,118.0
1956-04-01,,205.0
1956-05-01,,169.0
1956-06-01,,170.0
1956-07-01,,246.0
1956-08-01,,211.0
1956-09-01,,118.0
1956-10-01,,118.0
1956-11-01,,34.0
1956-12-01,,15.0
1957-01-01,,51.0
1957-02-01,,119.0
1957-03-01,,53.0
1957-04-01,,89.0
1957-05-01,,188.0
1957-06-01,,233.0
1957-07-01,,212.0
1957-08-01,,143.0
1957-09-01,,133.0
1957-10-01,,36.0
1957-11-01,,52.0
1957-12-01,,74.0
1958-01-01,,83.0
1958-02-01,,202.0
1958-03-01,,88.0
1958-04-01,,179.0
1958-05-01,,111.0
1958-06-01,,139.0
1958-07-01,,172.0
1958-08-01,,191.0
1958-09-01,,145.0
1958-10-01,,225.0
1958-11-01,,101.0
1958-12-01,,78.0
1959-01-01,,116.0
1959-02-01,,17.0
1959-03-01,,108.0
1959-04-01,,115.0
1959-05-01,,92.0
1959-06-01,,197.0
1959-07-01,,136.0
1959-08-01,,121.0
1959-09-01,,47.0
1959-10-01,,110.0
1959-11-01,,75.0
1959-12-01,,116.0
1960-01-01,,60.0
1960-02-01,,92.0
1960-03-01,,136.0
1960-04-01,,107.0
1960-05-01,,117.0
1960-06-01,,170.0
1960-07-01,,240.0
1960-08-01,,275.0
1960-09-01,,267.0
1960-10-01,,153.0
1960-11-01,,137.0
1960-12-01,,58.0
1961-01-01,,44.4
1961-02-01,,154.2
1961-03-01,,45.6
1961-04-01,,144.0
1961-05-01,,148.9
1961-06-01,,145.4
1961-07-01,,146.9
1961-08-01,,169.8
1961-09-01,,17.7
1961-10-01,,75.4
1961-11-01,,65.4
1961-12-01,,143.0
