time,JUN
1990-06-01,-2.9
1990-07-01,0.1
1990-08-01,0.4
1990-09-01,-3.9
1990-10-01,-4.2
1990-11-01,-11.7
1990-12-01,-13.8
1991-01-01,-10.9
1991-02-01,-15.4
1991-03-01,-9.0
1991-04-01,-12.1
1991-05-01,-9.2
1991-06-01,-3.5
1991-07-01,1.4
1991-08-01,1.7
1991-09-01,-0.9
1991-10-01,-6.4
1991-11-01,-10.0
1991-12-01,-11.1
1992-01-01,-10.0
1992-02-01,-12.3
1992-03-01,-12.6
1992-04-01,-9.9
1992-05-01,-4.3
1992-06-01,-3.9
1992-07-01,0.3
1992-08-01,1.8
1992-09-01,-2.9
1992-10-01,-8.5
1992-11-01,-7.6
1992-12-01,-9.7
1993-01-01,-10.0
1993-02-01,-13.3
1993-03-01,-13.1
1993-04-01,-10.3
1993-05-01,-5.3
1993-06-01,-2.1
1993-07-01,-1.8
1993-08-01,-0.1
1993-09-01,-4.7
1993-10-01,-7.2
1993-11-01,-10.9
1993-12-01,-12.3
1994-01-01,-13.7
1994-02-01,-14.4
1994-03-01,-9.5
1994-04-01,-11.9
1994-05-01,-5.2
1994-06-01,-2.6
1994-07-01,1.6
1994-08-01,0.8
1994-09-01,-3.4
1994-10-01,-5.6
1994-11-01,-6.6
1994-12-01,-10.2
1995-01-01,-15.2
1995-02-01,-11.0
1995-03-01,-14.6
1995-04-01,-9.6
1995-05-01,-5.8
1995-06-01,-3.5
1995-07-01,2.5
1995-08-01,-1.0
1995-09-01,-5.5
1995-10-01,-1.7
1995-11-01,-10.1
1995-12-01,-12.3
1996-01-01,-10.9
1996-02-01,-16.4
1996-03-01,-14.3
1996-04-01,-9.5
1996-05-01,-5.6
1996-06-01,-2.3
1996-07-01,-1.3
1996-08-01,-1.7
1996-09-01,-6.0
1996-10-01,-6.0
1996-11-01,-10.8
1996-12-01,-11.6
1997-01-01,-10.8
1997-02-01,-10.9
1997-03-01,-9.9
1997-04-01,-11.0
1997-05-01,-5.4
1997-06-01,-2.8
1997-07-01,-1.8
1997-08-01,0.7
1997-09-01,0.8
1997-10-01,-5.6
1997-11-01,-9.1
1997-12-01,-12.7
1998-01-01,-11.8
1998-02-01,-7.6
1998-03-01,-11.6
1998-04-01,-11.2
1998-05-01,-4.7
1998-06-01,-1.7
1998-07-01,-0.1
1998-08-01,1.2
1998-09-01,-3.7
1998-10-01,-6.9
1998-11-01,-13.2
1998-12-01,-12.2
1999-01-01,-12.2
1999-02-01,-15.6
1999-03-01,-11.9
1999-04-01,-10.3
1999-05-01,-3.7
1999-06-01,-2.8
1999-07-01,0.4
1999-08-01,0.4
1999-09-01,-1.2
1999-10-01,-4.8
1999-11-01,-11.2
1999-12-01,-13.3
2000-01-01,-12.6
2000-02-01,-12.3
2000-03-01,-11.9
2000-04-01,-9.1
2000-05-01,-4.0
2000-06-01,-0.6
2000-07-01,-2.8
2000-08-01,0.7
2000-09-01,-1.7
2000-10-01,-5.3
2000-11-01,-10.7
2000-12-01,-10.7
2001-01-01,-12.6
2001-02-01,-13.6
2001-03-01,-10.4
2001-04-01,-11.3
2001-05-01,-2.9
2001-06-01,-3.3
2001-07-01,-0.1
2001-08-01,1.4
2001-09-01,-6.5
2001-10-01,-2.1
2001-11-01,-9.8
2001-12-01,-14.0
2002-01-01,-10.4
2002-02-01,-11.6
2002-03-01,-10.8
2002-04-01,-10.3
2002-05-01,-5.5
2002-06-01,-0.1
2002-07-01,-0.1
2002-08-01,-0.6
2002-09-01,-3.7
2002-10-01,-5.5
2002-11-01,-9.7
2002-12-01,-10.7
2003-01-01,-14.1
2003-02-01,-16.0
2003-03-01,-9.5
2003-04-01,-9.6
2003-05-01,-4.1
2003-06-01,2.2
2003-07-01,1.0
2003-08-01,3.0
2003-09-01,-1.7
2003-10-01,-7.3
2003-11-01,-7.1
2003-12-01,-11.2
2004-01-01,-13.9
2004-02-01,-12.4
2004-03-01,-12.0
2004-04-01,-9.3
2004-05-01,-6.3
2004-06-01,-2.0
2004-07-01,-0.1
2004-08-01,0.7
2004-09-01,-0.7
2004-10-01,-3.9
2004-11-01,-9.7
2004-12-01,-10.4
2005-01-01,-13.2
2005-02-01,-17.8
2005-03-01,-11.6
2005-04-01,-8.7
2005-05-01,-4.3
2005-06-01,-0.4
2005-07-01,0.1
2005-08-01,-1.0
2005-09-01,-1.1
2005-10-01,-2.0
2005-11-01,-10.4
2005-12-01,-14.0
2006-01-01,-12.9
2006-02-01,-14.1
2006-03-01,-12.8
2006-04-01,-8.9
2006-05-01,-5.0
2006-06-01,-1.0
2006-07-01,2.8
2006-08-01,-3.4
2006-09-01,0.1
2006-10-01,-2.3
2006-11-01,-7.9
2006-12-01,-9.3
2007-01-01,-10.6
2007-02-01,-10.3
2007-03-01,-12.5
2007-04-01,-5.7
2007-05-01,-4.9
2007-06-01,-1.4
2007-07-01,-1.0
2007-08-01,-0.2
2007-09-01,-4.1
2007-10-01,-4.5
2007-11-01,-10.2
2007-12-01,-12.6
2008-01-01,-10.3
2008-02-01,-9.5
2008-03-01,-14.1
2008-04-01,-11.1
2008-05-01,-4.5
2008-06-01,-0.7
2008-07-01,-0.2
2008-08-01,0.6
2008-09-01,-3.5
2008-10-01,-4.5
2008-11-01,-10.9
2008-12-01,-13.4
2009-01-01,-13.9
2009-02-01,-16.1
2009-03-01,-12.8
2009-04-01,-8.9
2009-05-01,-3.7
2009-06-01,-2.5
2009-07-01,0.2
2009-08-01,2.1
2009-09-01,-1.2
2009-10-01,-6.1
2009-11-01,-8.4
2009-12-01,-14.7
2010-01-01,-15.7
2010-02-01,-15.2
2010-03-01,-13.5
2010-04-01,-9.4
2010-05-01,-6.6
2010-06-01,-1.3
2010-07-01,1.5
2010-08-01,-0.8
2010-09-01,-3.3
2010-10-01,-5.3
2010-11-01,-11.5
2010-12-01,-15.2
2011-01-01,-12.9
2011-02-01,-11.9
2011-03-01,-10.4
2011-04-01,-6.8
2011-05-01,-4.2
2011-06-01,-1.5
2011-07-01,-2.0
2011-08-01,1.4
2011-09-01,0.3
2011-10-01,-3.7
2011-11-01,-5.3
2011-12-01,-12.4
2012-01-01,-13.1
2012-02-01,-15.9
