 

stn;time;rka150d0
BEKSE;20100505;16.6
BEKSE;20100506;0.5
BEKSE;20100507;2.4
BEKSE;20100508;3.0
BEKSE;20100509;3.6
BEKSE;20100510;7.1
BEKSE;20100511;6.0
BEKSE;20100512;5.3
BEKSE;20100513;13.6
BEKSE;20100514;10.4
BEKSE;20100515;5.0
BEKSE;20100516;4.7
BEKSE;20100517;1.4
BEKSE;20100518;2.4
BEKSE;20100519;2.1
BEKSE;20100520;0.1
BEKSE;20100521;0.0
BEKSE;20100522;0.0
BEKSE;20100523;0.0
BEKSE;20100524;0.0
BEKSE;20100525;0.0
BEKSE;20100526;5.0
BEKSE;20100527;6.0
BEKSE;20100528;6.7
BEKSE;20100529;4.4
BEKSE;20100530;22.6
BEKSE;20100531;9.2
BEKSE;20100601;3.8
BEKSE;20100602;8.0
BEKSE;20100603;0.5
BEKSE;20100604;0.0
BEKSE;20100605;0.0
BEKSE;20100606;11.2
BEKSE;20100607;0.8
BEKSE;20100608;0.1
BEKSE;20100609;0.3
BEKSE;20100610;0.0
BEKSE;20100611;1.2
BEKSE;20100612;7.4
BEKSE;20100613;15.4
BEKSE;20100614;5.7
BEKSE;20100615;1.5
BEKSE;20100616;12.2
BEKSE;20100617;13.4
BEKSE;20100618;9.7
BEKSE;20100619;13.8
BEKSE;20100620;2.4
BEKSE;20100621;1.7
BEKSE;20100622;0.0
BEKSE;20100623;0.0
BEKSE;20100624;0.0
BEKSE;20100625;0.0
BEKSE;20100626;0.0
BEKSE;20100627;0.0
BEKSE;20100628;0.0
BEKSE;20100629;9.5
BEKSE;20100630;0.0
BEKSE;20100701;0.3
BEKSE;20100702;10.2
BEKSE;20100703;4.4
BEKSE;20100704;6.3
BEKSE;20100705;0.0
BEKSE;20100706;0.0
BEKSE;20100707;0.0
BEKSE;20100708;0.0
BEKSE;20100709;0.0
BEKSE;20100710;4.3
BEKSE;20100711;1.2
BEKSE;20100712;8.8
BEKSE;20100713;0.5
BEKSE;20100714;0.8
BEKSE;20100715;0.0
BEKSE;20100716;11.8
BEKSE;20100717;19.0
BEKSE;20100718;0.6
BEKSE;20100719;0.0
BEKSE;20100720;0.0
BEKSE;20100721;5.1
BEKSE;20100722;11.6
BEKSE;20100723;41.8
BEKSE;20100724;6.2
